Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica e Secundária Escalada, Pampilhosa da Serra",Bairro de S. Martinho,3320-206,Pampilhosa da Serra,235590400,servicos@ae-escalada.edu.gov.pt,160507,"Agrupamento de Escolas Escalada, Pampilhosa da Serra",Sim,2
Escola Básica e Secundária de Penacova,Rua Dr. Homero Pimentel,n.º 1,3360-344,239470190,servicos@aepenacv.edu.gov.pt,161901,Agrupamento de Escolas de Penacova,Sim,14
"Escola Básica de São Pedro de Alva, Penacova",Apartado 13 S Pedro de Alva,São Pedro De Alva,3360-258,239456680,eb23.spedroalva@escolas.min-edu.pt,161901,Agrupamento de Escolas de Penacova,Não,14
"Escola Básica Infante D. Pedro, Penela",Cumieira,Cumeeira,3230-016,236622403,eb1.cumieirapenela@escolas.min-edu.pt,160234,"Agrupamento de Escolas Infante D. Pedro, Penela",Não,3
Escola Básica de Soure,Rua Nova (EN 348),Degracias,3130-022,236911125,eb1.degracias@escolas.min-edu.pt,161469,"Agrupamento de Escolas Martinho Árias, Soure",Não,18
"Instituto ""Pedro Hispano""",R. de Gabrielos,Granja Do Ulmeiro,3130-080,239640250,it.pedrohispano@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Margarida Fierro Caeiro da Matta, Midões, Tábua",Alameda Cuqui Fierro,Midões Tbu,3420-136,235460120,ebi.midoes@escolas.min-edu.pt,161482,Agrupamento de Escolas de Tábua,Não,14
Escola Básica n.º 2 de Tábua,Rua da Escola,Mouronho,3420-168,235713794,eb1.mouronho@escolas.min-edu.pt,161482,Agrupamento de Escolas de Tábua,Não,14
"Escola Básica e Secundária Dr. Daniel de Matos, Vila Nova de Poiares",Rua Capitão Salgueiro Maia,n.º 2,3350-079,239429410,servicos@aepoiares.edu.gov.pt,160520,Agrupamento de Escolas de Vila Nova de Poiares,Sim,4
"Escola Básica Diogo Lopes Sequeira, Alandroal",Tapada da Alfarrobeira,7250-101,Alandroal,268447010,servicos@alandroal.edu.gov.pt,135124,Agrupamento de Escolas de Alandroal,Sim,4
"Escola Básica e Secundária Cunha Rivara, Arraiolos",R. 5 de Outubro,7040-028,Arraiolos,266490400,servicos@aearraiolos.edu.gov.pt,135525,Agrupamento de Escolas de Arraiolos,Sim,7
"Escola Básica Padre Bento Pereira, Borba",Avenida Bombeiros Voluntários,7150-101,Borba,-,-,135136,-,-,-
"Escola Básica Sebastião da Gama, Estremoz",R. General Humberto Delgado,7100-123,Estremoz,268333784,servicos@aeetz.edu.gov.pt,135574,Agrupamento de Escolas de Estremoz,Sim,11
"Escola Básica Conde de Vilalva, Évora",Avenida António Barata - Bairro das Pites,7005-621,Évora,266777320,eb23.condevilalva@escolas.min-edu.pt,135562,"Agrupamento de Escolas André de Gouveia, Évora",Não,13
"Escola Básica Manuel Ferreira Patrício, Évora",Av. Engº Arantes de Oliveira,7000-758,Évora,266750050,servicos@aempatricio.edu.gov.pt,135537,"Agrupamento de Escolas Manuel Ferreira Patrício, Évora",Sim,7
"Escola Básica André de Resende, Évora",Avenida Gago Coutinho,7005-135,Évora,266739560,eb23.andreresende@escolas.min-edu.pt,135549,"Agrupamento de Escolas Gabriel Pereira, Évora",Não,10
"Escola Básica de Santa Clara, Évora",R. de Santa Clara,nº 2,7000-517,266748970,eb23.staclaraevora@escolas.min-edu.pt,135550,"Agrupamento de Escolas Severim de Faria, Évora",Não,9
Salesianos de Évora - Colégio,Av. São João Bosco,n.º4,7000-766,266736254,fundacao@evora.salesianos.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica São João de Deus, Montemor-o-Novo",Rua Dr. Adriano Vaz Velho,7050-147,Montemor-o-Novo,266898600,eb23.sjoaodeus@escolas.min-edu.pt,135586,Agrupamento de Escolas de Montemor-o-Novo,Não,17
Escola Básica e Secundária de Mora,Bairro das Acacias,Samora Correia,2135-263,263654324,servicos@aescorreia.edu.gov.pt,170331,"Agrupamento de Escolas de Samora Correia, Benavente",Sim,9
Escola Básica de Mourão,R. Natália Correia,Rio De Mouro,2635-475,219172212,eb1.n1.paioes@escolas.min-edu.pt,172467,"Agrupamento de Escolas Dona Maria II, Sintra",Não,5
"Escola Básica e Secundária D. João de Portel, Portel",R. de S. Paulo,7220-401,Portel,266619060,aeportel@aeportel.pt,130140,Agrupamento de Escolas de Portel,Sim,6
"Escola Básica e Secundária Dr. Hernâni Cidade, Redondo",Avª Dr. Domingos Rosado,7170-029,Redondo,266909215,servicos@aeredondo.edu.gov.pt,135598,Agrupamento de Escolas de Redondo,Sim,2
"Escola Básica António Gião, Reguengos de Monsaraz",Urb. Quinta Nova,7200-204,Reguengos de Monsaraz,266509200,eb23.rmonsaraz@escolas.min-edu.pt,135604,Agrupamento de Escolas de Reguengos de Monsaraz,Não,10
Escola Básica n.º 1 de Vendas Novas,Rua Bento Gonçalves -Campos da Misericordia,7080-000,Vendas Novas,265892243,eb1.cmisericordia@escolas.min-edu.pt,135410,Agrupamento de Escolas de Vendas Novas,Não,7
Colégio de Laura Vicuña,Avenida 25 de Abril,n.º 15,7080-184,265809510,clv.vendasnovas@salesianas.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Alcáçovas, Viana do Alentejo",Urb. Chão do Mocho,7090-000,Viana do Alentejo,-,-,135173,-,-,-
"Escola Básica e Secundária Dr. Isidoro de Sousa, Viana do Alentejo",Estrada da Qt. de Stª Maria,7090-000,Viana do Alentejo,266930070,servicos@aeviana-alentejo.edu.gov.pt,135173,Agrupamento de Escolas de Viana do Alentejo,Sim,5
"Escola Básica D. João IV, Vila Viçosa",Rua Horta do Reguengo,7160-000,Vila Viçosa,268886890,eb23.djoaoiv@escolas.min-edu.pt,135483,Agrupamento de Escolas de Vila Viçosa,Não,10
"Escola Básica da Guia, Albufeira",Rua José Cabrita Cerco das Hortas,Guia Abf,8200-435,289560110,-,145014,"Agrupamento de Escolas de Albufeira Poente, Albufeira",Não,8
"Escola Básica de Ferreiras, Albufeira",Rua das Escolas,8200-000,Albufeira,289370800,ebiji.paderne@escolas.min-edu.pt,145026,"Agrupamento de Escolas de Ferreiras, Albufeira",Não,10
"Escola Básica D. Martim Fernandes, Albufeira",Lg. Luís de Camões,8200-062,Albufeira,289599060,eb23.dmfernandes@escolas.min-edu.pt,145014,"Agrupamento de Escolas de Albufeira Poente, Albufeira",Não,8
"Escola Básica Dr. Francisco Cabrita, Albufeira",Rua da Correeira - Montechoro,8200-112,Albufeira,289588471,eb23.dfcabrita@escolas.min-edu.pt,145385,Agrupamento de Escolas de Albufeira,Não,5
"Escola Básica de Paderne, Albufeira",Rua das Escolas,8200-000,Albufeira,289370800,ebiji.paderne@escolas.min-edu.pt,145026,"Agrupamento de Escolas de Ferreiras, Albufeira",Não,10
"Escola Básica Professora Piedade Matoso, Aljezur",Rua das Escolas,Odeceixe,8670-320,282947332,eb1.odeceixe@escolas.min-edu.pt,145051,"Agrupamento de Escolas Professora Piedade Matoso, Aljezur",Não,3
Escola Básica de Castro Marim,Odeleite,Azinhal Ctm,8950-011,281495372,eb1.odeleite@escolas.min-edu.pt,145063,Agrupamento de Escolas de Castro Marim,Não,4
"Escola Básica D. Afonso III, Faro",R. D. Diogo Mendonça Corte Real,8000-305,Faro,289801736,eb1.altorodes@escolas.min-edu.pt,145087,"Agrupamento de Escolas D. Afonso III, Faro",Não,3
Colégio de Nossa Senhora do Alto,Rua de Berlim,8000-278,Faro,289824020,cl.nsraalto@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Poeta Emiliano da Costa, Estoi, Faro",Rua Prof. Amílcar Quaresma,Estoi,8005-479,289990290,eb23.estoi@escolas.min-edu.pt,145567,"Agrupamento de Escolas Pinheiro e Rosa, Faro",Não,9
"Escola Básica de Montenegro, Faro",Estrada de Sta Barbara de Nexe,8005-142,Faro,289815003,eb1.patacao@escolas.min-edu.pt,145105,"Agrupamento de Escolas de Montenegro, Faro",Não,5
"Escola Básica Santo António, Faro",Rua Reitor Teixeira Guedes,8000-425,Faro,289896400,eb23.n4.faro@escolas.min-edu.pt,145099,"Agrupamento de Escolas João de Deus, Faro",Não,5
"Escola Básica Dr. José de Jesus Neves Júnior, Faro",R. Dr. Emílio José Campos Coroa,8005-218,Faro,289892090,eb23.djjnevesjunior@escolas.min-edu.pt,145567,"Agrupamento de Escolas Pinheiro e Rosa, Faro",Não,9
"Escola Básica Dr. Joaquim Rocha Peixoto Magalhães, Faro",Rua Ema Romero Câmara Reis,Horta do Ferragial,8000-544,289805642,eb23.djmagalhaes@escolas.min-edu.pt,145397,"Agrupamento de Escolas Tomás Cabreira, Faro",Não,4
NOBEL - International School Algarve,Barros Brancos – EN 125 Apartado 80,8400-400,Lagoa,282342547,info@nobelalgarve.com,n.a.,n.a.,n.a.,n.a.
"Escola Básica Jacinto Correia, Lagoa",Urb Lagoa sol - Rua Professor José Francisco Cabrita,8401-853,Lagoa,282380200,eb23.jacintocorreia@escolas.min-edu.pt,145403,"Agrupamento de Escolas Padre António Martins de Oliveira, Lagoa",Não,6
"Escola Básica Rio Arade, Parchal, Lagoa",R. da Escola,Parchal,8400-615,282405000,servicos@rioarade.edu.gov.pt,145130,"Agrupamento de Escolas Rio Arade, Lagoa",Sim,8
"Escola Básica Professor João Cónim, Estômbar, Lagoa",R. 20 de Junho - Sitio da Carrasca - Estômbar,Estombar,8400-063,-,-,145130,-,-,-
Escola Básica Tecnopolis de Lagos,Rua Dom Gaspar de Leão - Apartado 145,Odiáxere,8600-001,282244430,eb.tecnopolis@escolas.min-edu.pt,145415,"Agrupamento de Escolas Júlio Dantas, Lagos",Não,5
"Escola Básica das Naus, Lagos",Apartado 850 - Marina - Lagos,8600-000,Lagos,282792266,eb23.naus@escolas.min-edu.pt,145427,"Agrupamento de Escolas Gil Eanes, Lagos",Não,7
Colégio Internacional de Vilamoura,Sítio das Quintinhas - Apartado 856,Quarteira,8125-300,289303280,cl.ivilamoura@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Dr. António de Sousa Agostinho, Almancil, Loulé",Largo Poeta Clementino Baeta,Almancil,8135-154,289359560,servicos@aealmancil.edu.gov.pt,145142,"Agrupamento de Escolas de Almancil, Loulé",Sim,7
"Escola Básica São Pedro do Mar, Quarteira, Loulé",Rua da Abelheira,Quarteira,8125-173,289300640,eb23.quarteira@escolas.min-edu.pt,145336,"Agrupamento de Escolas Doutora Laura Ayres, Loulé",Não,7
"Escola Básica D. Dinis, Quarteira, Loulé",R. da Escola,Quarteira,8125-213,289315821,eb1.dfranciscaaragao@escolas.min-edu.pt,145439,"Agrupamento de Escolas D. Dinis, Loulé",Não,2
"Escola Básica Professor Sebastião José Pires Teixeira, Salir, Loulé",R. Artur Marcos Guerreiro,Salir,8100-202,289489518,ebi.salir@escolas.min-edu.pt,145440,"Agrupamento de Escolas Padre João Coelho Cabanita, Loulé",Não,15
"Escola Básica Padre João Coelho Cabanita, Loulé",Ameixial,Ameixial,8100-050,289847128,-,145440,"Agrupamento de Escolas Padre João Coelho Cabanita, Loulé",Não,15
"Escola Básica Manuel do Nascimento, Monchique",Estrada de Sabóia,8550-426,Monchique,282912161,servicos@aemonchique.edu.gov.pt,145180,Agrupamento de Escolas de Monchique,Sim,4
"Escola Básica João da Rosa, Olhão",Estr. Nacional 125,8700-221,Olhão,289705379,eb1.n1.marim@escolas.min-edu.pt,145221,"Agrupamento de Escolas João da Rosa, Olhão",Não,4
"Escola Básica e Secundária Dr. João Lúcio, Fuseta, Olhão",Bias do Sul,Moncarapacho,8700-067,-,-,145543,-,-,-
"Escola Básica Dr. António João Eusébio, Moncarapacho, Olhão",Av. D. Maria Rosa Dias,Moncarapacho,8700-082,289790720,eb23.dajoaoeusebio@escolas.min-edu.pt,145543,"Agrupamento de Escolas Doutor Francisco Fernandes Lopes, Olhão",Não,6
"Escola Básica Dr. Alberto Iria, Olhão",Lg. da Feira,8700-359,Olhão,289713223,eb1.n1.olhao@escolas.min-edu.pt,145452,"Agrupamento de Escolas Doutor Alberto Iria, Olhão",Não,3
"Escola Básica Professor Paula Nogueira, Olhão",Sitio da Igreja,8700-178,Olhão,289701549,eb1.n1.pechao@escolas.min-edu.pt,145191,"Agrupamento de Escolas Professor Paula Nogueira, Olhão",Não,8
"Escola Básica José Carlos da Maia, Olhão",Rua João Augusto Saias,8700-254,Olhão,289703503,eb23.josecarlosmaia@escolas.min-edu.pt,145191,"Agrupamento de Escolas Professor Paula Nogueira, Olhão",Não,8
Colégio Bernardette de Jesus Romeira,Rua Dâmaso da Encarnação,n.º 29,8700-249,289701021,cl.bjesusromeira@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária da Bemposta, Portimão",Rua Pedro Osório,8500-291,Portimão,282244400,servicos@aebemposta.edu.gov.pt,145531,"Agrupamento de Escolas de Bemposta, Portimão",Sim,9
"Escola Básica José Sobral, Mexilhoeira Grande, Portimão",Mexilhoeira Grande,Mexilhoeira Grande,8500-132,282960300,eb23.mgrande@escolas.min-edu.pt,145531,"Agrupamento de Escolas de Bemposta, Portimão",Não,9
"Escola Básica Júdice Fialho, Portimão",Rua Poeta António Aleixo,Alvor,8500-001,282475069,eb1.chaodonas@escolas.min-edu.pt,145490,"Agrupamento de Escolas Júdice Fialho, Portimão",Não,6
"Escola Básica D. Martinho de Castelo Branco, Portimão",Sítio do Pontal,8500-510,Portimão,282460120,eb23.dmcastelobranco@escolas.min-edu.pt,145476,"Agrupamento de Escolas Poeta António Aleixo, Portimão",Não,3
"Escola Básica D. João II, Alvor, Portimão",Largo do Rossio Grande,Apartado 6 – Alvor,8500-000,282459871,eb23.djoaoiialvor@escolas.min-edu.pt,145531,"Agrupamento de Escolas de Bemposta, Portimão",Não,9
"Escola Básica Poeta Bernardo de Passos, São Brás de Alportel",Rua 1.º de Junho,8150-111,São Brás de Alportel,289841603,eb23.bernardopassos@escolas.min-edu.pt,145373,"Agrupamento de Escolas José Belchior Viegas, São Brás de Alportel",Não,9
"Escola Básica de Algoz, Silves",Rua das Quintas,Algoz,8365-062,282570220,eb23.algoz@escolas.min-edu.pt,145269,Agrupamento de Escolas Silves Sul,Não,8
"Escola Básica Dr. António da Costa Contreiras, Armação de Pêra, Silves",Sítio da Torre – Apartado 260,Armação De Pêra,8365-184,282315320,servicos@silvessul.edu.gov.pt,145269,Agrupamento de Escolas Silves Sul,Sim,8
"Escola Básica Dr. Garcia Domingues, Silves",Praceta Gil Eanes - Apartado 38,8300-118,Silves,-,-,145555,-,-,-
"Escola Básica João de Deus, São Bartolomeu de Messines, Silves",Rua Maria da Piedade Bastos Serpa,S Bartolomeu De Messines,8375-163,282339363,eb23.joaodeus@escolas.min-edu.pt,145555,Agrupamento de Escolas de Silves,Não,12
"Escola Básica D. Paio Peres Correia, Tavira",Rua Jorge Corvo,8800-352,Tavira,281326493,eb23.dpperescorreia@escolas.min-edu.pt,145312,"Agrupamento de Escolas Doutor Jorge Augusto Correia, Tavira",Não,5
"Escola Básica D. Manuel I, Tavira",Lg. Dr. Carlos Picoito,8800-000,Tavira,281961156,eb1.seldcpicoito@escolas.min-edu.pt,145324,"Agrupamento de Escolas D. Manuel I, Tavira",Não,9
Escola Waldorf a Oliveira - Polo de Vila do Bispo,Rua 1º de Maio,24,8650-400,282098719,escolalivredoalgarve@gmail.com,n.a.,n.a.,n.a.,n.a.
Escola Waldorf - A Oliveira,R. da Escola Primária,Budens,8650-171,282695898,-,n.a.,n.a.,n.a.,n.a.
"Escola Básica São Vicente, Vila do Bispo",Rua Santa Maria do Cabo,8650-416,Vila do Bispo,282639366,servicos@aevila-bispo.edu.gov.pt,145282,Agrupamento de Escolas de Vila do Bispo,Sim,7
"Escola Básica D. José I, Vila Real de Santo António",R. do Lusitano - Bairro do Matadouro,Vila Real Santo António,8900-000,281512555,eb1.stantoniohortas@escolas.min-edu.pt,145518,"Agrupamento de Escolas D. José I, Vila Real de Santo António",Não,4
"Escola Básica Infante D. Fernando, Vila Nova de Cacela, Vila Real de Santo António",Largo Manuel Cabanas,Vila Nova De Cacela,8900-067,281950500,eb23.vnovacacela@escolas.min-edu.pt,145348,Agrupamento de Escolas de Vila Real de Santo António,Não,3
"Escola Básica de Monte Gordo, Vila Real de Santo António",Rua Pero de Alenquer – Apartado 8,Monte Gordo,8900-431,281510760,eb23.montegordo@escolas.min-edu.pt,145518,"Agrupamento de Escolas D. José I, Vila Real de Santo António",Não,4
"Escola Básica e Secundária Padre José Augusto da Fonseca, Aguiar da Beira",Bairro Padre José Augusto da Fonseca,3570-022,Aguiar da Beira,232689030,servicos@agb.edu.gov.pt,160854,"Agrupamento de Escolas Padre José Augusto da Fonseca, Aguiar da Beira",Sim,8
